n,kind,query,intended,intended_tmdb_id,bi_rank,xe_rank,rank_change,hit_at_5,miss_cause,returned_first,returned_first_percent,top_5
12,premise,a scottish princess doesnt want to marry and accidentally turns her mother into a bear,Brave (2012),62177,3,1,2,yes,,Brave,59,Brave | Disenchanted | The Princess and the Frog | The Sword and the Rose | The Princess Diaries
13,premise,a magical nanny flies in with an umbrella to look after two kids in london,Mary Poppins (1964),433,1,1,0,yes,,Mary Poppins,99,Mary Poppins | Peter Pan | Mary Poppins Returns | Bedknobs and Broomsticks | James and the Giant Peach
14,premise,a famous race car gets stuck in a tiny desert town and has to repair the road,Cars (2006),920,1,1,0,yes,,Cars,4,"Cars | The Love Bug | Cars 2 | Herbie Goes to Monte Carlo | Joker, The Amiable Ocelot"
15,premise,a princess is cursed to sleep forever if she pricks her finger on a spinning wheel,Sleeping Beauty (1959),10882,1,1,0,yes,,Sleeping Beauty,14,Sleeping Beauty | Into the Woods | Frozen | Enchanted | Cinderella
16,premise,a woman wants to make a fur coat out of stolen puppies,One Hundred and One Dalmatians (1961),12230,5,2,3,yes,,101 Dalmatians,98,101 Dalmatians | One Hundred and One Dalmatians | Beverly Hills Chihuahua | Lady and the Tramp | 102 Dalmatians
17,premise,a kid inventor and a big soft white healthcare robot start a superhero team,Big Hero 6 (2014),177572,3,1,2,yes,,Big Hero 6,9,"Big Hero 6 | Honey, I Blew Up the Kid | Iron Man 2 | Avengers: Age of Ultron | More Than Robots"
18,premise,a jazz pianist dies and his soul ends up in the place where souls come from,Soul (2020),508442,1,1,0,yes,,Soul,80,Soul | Ghost Rider | The Devil and Max Devlin | Coco | America's Heart & Soul
19,premise,sea monster boys who turn human when they are dry in an italian seaside town,Luca (2021),508943,1,1,0,yes,,Luca,39,"Luca | Pinocchio | The Strange Monster of Strawberry Cove | Popeye | Monsters, Inc."
20,premise,a chinese canadian girl turns into a giant red panda whenever she gets emotional,Turning Red (2022),508947,1,1,0,yes,,Turning Red,99,Turning Red | Embrace the Panda: Making Turning Red | The BFG | Mulan | Inside Out 2
21,premise,a waitress in new orleans kisses a frog prince and turns into a frog herself,The Princess and the Frog (2009),10198,1,1,0,yes,,The Princess and the Frog,100,The Princess and the Frog | Muppets Most Wanted | Beauty and the Beast | The Boy from Dead Man's Bayou | Alice Comedies Vol. 2
22,premise,a colony of ants is bullied by grasshoppers so one ant recruits circus bugs to fight back,A Bug's Life (1998),9487,1,1,0,yes,,A Bug's Life,99,"A Bug's Life | Ant-Man and the Wasp | Honey, I Shrunk the Kids | Ant-Man | Alice Comedies Vol. 2"
23,premise,a man raised by gorillas in the jungle meets other humans for the first time,Tarzan (1999),37135,2,2,0,yes,,George of the Jungle,90,George of the Jungle | Tarzan | The Jungle Book | The Jungle Book | Jungle 2 Jungle
24,premise,a boy is tutored by a bumbling wizard and then pulls a sword out of a stone to become king,The Sword in the Stone (1963),9078,1,1,0,yes,,The Sword in the Stone,80,The Sword in the Stone | The Black Cauldron | A Kid in King Arthur's Court | Dragonslayer | Maleficent
25,premise,a boy who can fly and never grows up takes three kids to an island with pirates and fairies,Peter Pan (1953),10693,4,2,2,yes,,Peter Pan & Wendy,68,Peter Pan & Wendy | Peter Pan | Shipwrecked | James and the Giant Peach | Sleeping Beauty
26,premise,an old widower flies his house away to south america with a boy scout stuck on the porch,Up (2009),14160,46,4,42,yes,,Summer Magic,1,Summer Magic | Jungle 2 Jungle | My Family Is a Menagerie | Up | Kit Carson and the Mountain Men
27,premise,the toys get donated to a daycare and try to escape back to their owner who left for college,Toy Story 3 (2010),10193,1,1,0,yes,,Toy Story 3,97,"Toy Story 3 | Toy Story 2 | Toy Story | No Deposit, No Return | I'll Be Home for Christmas"
28,premise,a boy who wants to be a musician in a family that banned music ends up in the land of the dead,Coco (2017),354912,3,1,2,yes,,Coco,96,Coco | Tall Tale: The Unbelievable Adventure | The Boy from Dead Man's Bayou | The Waltz King | Trevor: The Musical
29,premise,a girl with really long magic hair is locked in a tower by a woman pretending to be her mother,Tangled (2010),38757,3,1,2,yes,,Tangled,99,Tangled | Freaky Friday | Encanto | One Magic Christmas | Freaky Friday
30,premise,a queen with ice powers runs away from her kingdom and her sister goes to find her,Frozen (2013),109445,2,1,1,yes,,Frozen,89,Frozen | Snow White | Brave | Frozen II | Snow White and the Seven Dwarfs
31,premise,a bunch of classical music pieces turned into animation with no talking,Fantasia (1940),756,1,2,-1,yes,,Fantasia 2000,3,Fantasia 2000 | Fantasia | Music Land | Frank and Ollie | Make Mine Music
32,premise,a farm boy joins a rebellion against an evil empire with an old wizard and a smuggler,Star Wars (1977),11,64,,,no,stage-1: never reached the reranker,Tall Tale: The Unbelievable Adventure,15,Tall Tale: The Unbelievable Adventure | Star Wars Rebels: Spark of Rebellion | The Mandalorian and Grogu | Home on the Range | For the Love of Willadean
33,premise,the rebels are losing and the kid goes off to train with a little green master in a swamp,The Empire Strikes Back (1980),1891,12,3,9,yes,,The Ghost of Cypress Swamp,0,"The Ghost of Cypress Swamp | Shokee, the Everglades Panther | The Empire Strikes Back | The Boy from Dead Man's Bayou | Gallegher Goes West"
34,premise,an archaeologist with a whip races the nazis to find a biblical artifact,Raiders of the Lost Ark (1981),85,1,1,0,yes,,Raiders of the Lost Ark,82,Raiders of the Lost Ark | Indiana Jones and the Dial of Destiny | Indiana Jones and the Last Crusade | National Treasure | Indiana Jones and the Kingdom of the Crystal Skull
35,premise,a group of superheroes who cant get along have to team up to stop an alien invasion,The Avengers (2012),24428,7,1,6,yes,,The Avengers,39,The Avengers | Eternals | Chicken Little | Avengers: Endgame | Ultimate Avengers 2
36,premise,a rabbit becomes the first bunny cop in a city of animals and teams up with a con artist fox,Zootopia (2016),269149,1,1,0,yes,,Zootopia,99,Zootopia | Zootopia 2 | The City Fox | The Tigger Movie | Winnie the Pooh
37,premise,a clownfish dad crosses the whole ocean to find his son who got scooped up by a diver,Finding Nemo (2003),12,1,1,0,yes,,Finding Nemo,52,Finding Nemo | The Island at the Top of the World | Finding Dory | Hamad and the Pirates | Runaway on the Rogue River
38,premise,monsters scare human kids to collect their screams as energy for their city,"Monsters, Inc. (2001)",585,1,1,0,yes,,"Monsters, Inc.",76,"Monsters, Inc. | The Ewok Adventure | The Strange Monster of Strawberry Cove | The Rescuers | James and the Giant Peach"
39,premise,a rat with an amazing sense of taste secretly cooks by controlling a young guy in a paris restaurant,Ratatouille (2007),2062,1,1,0,yes,,Ratatouille,68,Ratatouille | The Hunchback of Notre Dame | The Princess and the Frog | Bon Voyage! | The Great Mouse Detective
40,premise,a family of superheroes has to hide their powers and live a normal life in the suburbs,The Incredibles (2004),9806,1,1,0,yes,,The Incredibles,5,The Incredibles | Sky High | The Fantastic 4: First Steps | Spider-Man: No Way Home | Next Avengers: Heroes of Tomorrow
41,premise,a blacksmith teams up with a weird drunk pirate captain to rescue the governors daughter,Pirates of the Caribbean: The Curse of the Black Pearl (2003),22,1,1,0,yes,,Pirates of the Caribbean: The Curse of the Black Pearl,100,Pirates of the Caribbean: The Curse of the Black Pearl | Pirates of the Caribbean: Dead Man's Chest | Pirates of the Caribbean: At World's End | Secrets of the Pirate's Inn | Peter Pan & Wendy
42,premise,a young deer grows up in the forest with a rabbit and a skunk as his friends,Bambi (1942),3170,4,1,3,yes,,Bambi,7,"Bambi | Nosey, the Sweetest Skunk in the West | George of the Jungle | Winnie the Pooh | A Tale of Two Critters"
43,premise,a hammer god loses his hammer and has to fight in a gladiator arena on a junk planet,Thor: Ragnarok (2017),284053,2,1,1,yes,,Thor: Ragnarok,0,Thor: Ragnarok | Thor: Love and Thunder | Hulk vs. Thor | Thor | Ewoks: The Battle for Endor
44,premise,a thief gets a suit that shrinks him down to the size of an ant but makes him really strong,Ant-Man (2015),102899,1,1,0,yes,,Ant-Man,99,"Ant-Man | Honey, I Shrunk the Kids | Ant-Man and the Wasp | My Dog, the Thief | A Bug's Life"
45,premise,a team goes on a suicide mission to steal the plans for a planet destroying weapon,Rogue One: A Star Wars Story (2016),330459,2,1,1,yes,,Rogue One: A Star Wars Story,45,Rogue One: A Star Wars Story | G-Force | Thunderbolts* | Avengers: Age of Ultron | Star Wars
46,premise,a nerdy linguist joins a submarine expedition to find a sunken city,Atlantis: The Lost Empire (2001),10865,2,1,1,yes,,Atlantis: The Lost Empire,85,"Atlantis: The Lost Empire | 20,000 Leagues Under the Sea | Ghosts of the Abyss | The Island at the Top of the World | In Search of the Castaways"
47,premise,a teenager finds a map to pirate treasure and sails on a space ship with a cyborg cook,Treasure Planet (2002),9016,1,1,0,yes,,Treasure Planet,100,Treasure Planet | Treasure Island | Secrets of the Pirate's Inn | Muppet Treasure Island | Mooncussers
48,premise,a deformed bell ringer in a paris cathedral is kept hidden away by a cruel judge,The Hunchback of Notre Dame (1996),10545,1,1,0,yes,,The Hunchback of Notre Dame,75,The Hunchback of Notre Dame | Holes | Way Down Cellar | The Hunchback of Notre Dame II | The Horse Without a Head
49,premise,a cartoon princess gets pushed into the real world and ends up in new york city,Enchanted (2007),4523,1,1,0,yes,,Enchanted,95,Enchanted | James and the Giant Peach | Oliver & Company | The Princess and the Frog | Sleeping Beauty
50,premise,boys at a detention camp in the desert are forced to dig holes all day for no reason,Holes (2003),8326,1,1,0,yes,,Holes,100,Holes | One Little Indian | Heavyweights | Rusty and the Falcon | A Far Off Place
