n,kind,query,intended,intended_tmdb_id,bi_rank,xe_rank,rank_change,hit_at_5,miss_cause,returned_first,returned_first_percent,top_5
15,premise,a princess is cursed to sleep forever if she pricks her finger on a spinning wheel,Sleeping Beauty (1959),10882,1,1,0,yes,,Sleeping Beauty,5,Sleeping Beauty | The Princess and the Frog | Beauty and the Beast | Enchanted | Bedknobs and Broomsticks
16,premise,a woman wants to make a fur coat out of stolen puppies,One Hundred and One Dalmatians (1961),12230,4,2,2,yes,,101 Dalmatians,96,"101 Dalmatians | One Hundred and One Dalmatians | The Golden Dog | A Story of Dogs | Nikki, Wild Dog of the North"
17,premise,a kid inventor and a big soft white healthcare robot start a superhero team,Big Hero 6 (2014),177572,2,1,1,yes,,Big Hero 6,2,"Big Hero 6 | Iron Man 2 | More Than Robots | Honey, I Blew Up the Kid | Meet the Robinsons"
18,premise,a jazz pianist dies and his soul ends up in the place where souls come from,Soul (2020),508442,1,1,0,yes,,Soul,61,Soul | Ghost Rider | The Devil and Max Devlin | Ghosts of the Abyss | Sultan and the Rock Star
19,premise,sea monster boys who turn human when they are dry in an italian seaside town,Luca (2021),508943,1,1,0,yes,,Luca,5,"Luca | The Strange Monster of Strawberry Cove | Pinocchio | Shadow of Fear | Monsters, Inc."
20,premise,a chinese canadian girl turns into a giant red panda whenever she gets emotional,Turning Red (2022),508947,1,1,0,yes,,Turning Red,91,Turning Red | Embrace the Panda: Making Turning Red | The BFG | The Wild Heart | Mulan
21,premise,a waitress in new orleans kisses a frog prince and turns into a frog herself,The Princess and the Frog (2009),10198,1,1,0,yes,,The Princess and the Frog,99,The Princess and the Frog | Muppets Most Wanted | Beauty and the Beast | The Muppets | Beauty and the Beast
22,premise,a colony of ants is bullied by grasshoppers so one ant recruits circus bugs to fight back,A Bug's Life (1998),9487,1,1,0,yes,,A Bug's Life,98,A Bug's Life | Ant-Man | My Family Is a Menagerie | Dumbo | Ant-Man and the Wasp
23,premise,a man raised by gorillas in the jungle meets other humans for the first time,Tarzan (1999),37135,2,5,-3,yes,,George of the Jungle,93,George of the Jungle | The Jungle Book | The Jungle Book | Jungle 2 Jungle | Tarzan
24,premise,a boy is tutored by a bumbling wizard and then pulls a sword out of a stone to become king,The Sword in the Stone (1963),9078,1,1,0,yes,,The Sword in the Stone,62,The Sword in the Stone | A Kid in King Arthur's Court | Pinocchio | The Black Cauldron | Dragonslayer
25,premise,a boy who can fly and never grows up takes three kids to an island with pirates and fairies,Peter Pan (1953),10693,4,7,-3,no,stage-2: reranker demoted it,Peter Pan & Wendy,16,Peter Pan & Wendy | Sleeping Beauty | Shipwrecked | James and the Giant Peach | Mooncussers
26,premise,an old widower flies his house away to south america with a boy scout stuck on the porch,Up (2009),14160,104,,,no,stage-1: never reached the reranker,Summer Magic,1,Summer Magic | Jungle 2 Jungle | My Family Is a Menagerie | The Watcher in the Woods | Kit Carson and the Mountain Men
27,premise,the toys get donated to a daycare and try to escape back to their owner who left for college,Toy Story 3 (2010),10193,1,1,0,yes,,Toy Story 3,92,"Toy Story 3 | Toy Story 2 | No Deposit, No Return | I'll Be Home for Christmas | Toy Story"
28,premise,a boy who wants to be a musician in a family that banned music ends up in the land of the dead,Coco (2017),354912,3,1,2,yes,,Coco,91,Coco | The Boy from Dead Man's Bayou | The Waltz King | Trevor: The Musical | Almost Angels
29,premise,a girl with really long magic hair is locked in a tower by a woman pretending to be her mother,Tangled (2010),38757,3,1,2,yes,,Tangled,99,Tangled | Freaky Friday | One Magic Christmas | Godmothered | Freaky Friday
30,premise,a queen with ice powers runs away from her kingdom and her sister goes to find her,Frozen (2013),109445,2,1,1,yes,,Frozen,58,Frozen | Snow White | Brave | Snow White and the Seven Dwarfs | Ice Princess
31,premise,a bunch of classical music pieces turned into animation with no talking,Fantasia (1940),756,15,19,-4,no,stage-2: reranker demoted it,Music Land,0,Music Land | Make Mine Music | Fantasia 2000 | Frank and Ollie | The Plausible Impossible
32,premise,a farm boy joins a rebellion against an evil empire with an old wizard and a smuggler,Star Wars (1977),11,214,,,no,stage-1: never reached the reranker,Tall Tale: The Unbelievable Adventure,17,Tall Tale: The Unbelievable Adventure | The Mandalorian and Grogu | For the Love of Willadean | Star Wars Rebels: Spark of Rebellion | The Legend of Young Dick Turpin
33,premise,the rebels are losing and the kid goes off to train with a little green master in a swamp,The Empire Strikes Back (1980),1891,15,15,0,no,stage-2: reranker demoted it,"Shokee, the Everglades Panther",0,"Shokee, the Everglades Panther | The Boy from Dead Man's Bayou | Gallegher Goes West | The Big Green | Star Wars Rebels: Spark of Rebellion"
34,premise,an archaeologist with a whip races the nazis to find a biblical artifact,Raiders of the Lost Ark (1981),85,1,1,0,yes,,Raiders of the Lost Ark,11,Raiders of the Lost Ark | Indiana Jones and the Last Crusade | National Treasure | Indiana Jones and the Dial of Destiny | The Making of 'Raiders of the Lost Ark'
35,premise,a group of superheroes who cant get along have to team up to stop an alien invasion,The Avengers (2012),24428,7,9,-2,no,stage-2: reranker demoted it,Chicken Little,0,Chicken Little | Eternals | G-Force | The Marvels | Spider-Man 3
36,premise,a rabbit becomes the first bunny cop in a city of animals and teams up with a con artist fox,Zootopia (2016),269149,1,1,0,yes,,Zootopia,99,Zootopia | The City Fox | Zootopia 2 | 102 Dalmatians | Piglet's Big Movie
37,premise,a clownfish dad crosses the whole ocean to find his son who got scooped up by a diver,Finding Nemo (2003),12,1,1,0,yes,,Finding Nemo,8,Finding Nemo | The Island at the Top of the World | Hamad and the Pirates | In Search of the Castaways | Runaway on the Rogue River
38,premise,monsters scare human kids to collect their screams as energy for their city,"Monsters, Inc. (2001)",585,1,1,0,yes,,"Monsters, Inc.",16,"Monsters, Inc. | The Strange Monster of Strawberry Cove | Cheetah | The City Fox | The BFG"
39,premise,a rat with an amazing sense of taste secretly cooks by controlling a young guy in a paris restaurant,Ratatouille (2007),2062,1,1,0,yes,,Ratatouille,42,Ratatouille | The Great Mouse Detective | The Princess and the Frog | Bon Voyage! | The City Fox
40,premise,a family of superheroes has to hide their powers and live a normal life in the suburbs,The Incredibles (2004),9806,1,2,-1,yes,,Sky High,0,Sky High | The Incredibles | Spider-Man: No Way Home | Flora & Ulysses | The Fantastic 4: First Steps
41,premise,a blacksmith teams up with a weird drunk pirate captain to rescue the governors daughter,Pirates of the Caribbean: The Curse of the Black Pearl (2003),22,1,1,0,yes,,Pirates of the Caribbean: The Curse of the Black Pearl,100,Pirates of the Caribbean: The Curse of the Black Pearl | Pirates of the Caribbean: At World's End | Secrets of the Pirate's Inn | Pirates of the Caribbean: Dead Man's Chest | Dragonslayer
42,premise,a young deer grows up in the forest with a rabbit and a skunk as his friends,Bambi (1942),3170,15,5,10,yes,,"Nosey, the Sweetest Skunk in the West",1,"Nosey, the Sweetest Skunk in the West | George of the Jungle | A Tale of Two Critters | Winnie the Pooh | Bambi"
43,premise,a hammer god loses his hammer and has to fight in a gladiator arena on a junk planet,Thor: Ragnarok (2017),284053,6,8,-2,no,stage-2: reranker demoted it,Thor: Love and Thunder,0,Thor: Love and Thunder | Hulk vs. Thor | Treasure Planet | Iron Man | Thor
44,premise,a thief gets a suit that shrinks him down to the size of an ant but makes him really strong,Ant-Man (2015),102899,1,1,0,yes,,Ant-Man,99,"Ant-Man | Honey, I Shrunk the Kids | My Dog, the Thief | 101 Dalmatians | Iron Man"
45,premise,a team goes on a suicide mission to steal the plans for a planet destroying weapon,Rogue One: A Star Wars Story (2016),330459,2,2,0,yes,,G-Force,15,G-Force | Rogue One: A Star Wars Story | Thunderbolts* | Eternals | Guardians of the Galaxy Vol. 3
46,premise,a nerdy linguist joins a submarine expedition to find a sunken city,Atlantis: The Lost Empire (2001),10865,2,1,1,yes,,Atlantis: The Lost Empire,9,"Atlantis: The Lost Empire | 20,000 Leagues Under the Sea | The Island at the Top of the World | Operation Undersea | Ghosts of the Abyss"
47,premise,a teenager finds a map to pirate treasure and sails on a space ship with a cyborg cook,Treasure Planet (2002),9016,1,1,0,yes,,Treasure Planet,99,Treasure Planet | Treasure Island | Secrets of the Pirate's Inn | Mooncussers | Shipwrecked
48,premise,a deformed bell ringer in a paris cathedral is kept hidden away by a cruel judge,The Hunchback of Notre Dame (1996),10545,1,1,0,yes,,The Hunchback of Notre Dame,57,The Hunchback of Notre Dame | The Horse Without a Head | The Hunchback of Notre Dame II | Way Down Cellar | Cruella
49,premise,a cartoon princess gets pushed into the real world and ends up in new york city,Enchanted (2007),4523,2,1,1,yes,,Enchanted,48,Enchanted | Bolt | The Princess and the Frog | The Princess Diaries | Stargirl
50,premise,boys at a detention camp in the desert are forced to dig holes all day for no reason,Holes (2003),8326,1,1,0,yes,,Holes,100,Holes | One Little Indian | Heavyweights | Rusty and the Falcon | The Boy from Dead Man's Bayou
